id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
254947033,79556696,15604,1748450,260648,105644000,39010000,0.149073,22.3112,22.3112,0.17251
254954155,79556696,111220690,96758.6,8086.86,4149970,1228510,0.0835777,12.6967,12.6485,0.069325
254948301,79556696,15928,16027400,1912930,829791000,309992000,0.119354,19.3413,19.3491,0.390072
254949402,79556696,16177,3020550,334022,165672000,50352100,0.110583,16.6698,16.664,0.258024
254951170,79556696,16587,67842.9,8641.68,3627730,1378200,0.127378,20.3146,20.3147,0.0175999
254945518,79556696,826,7442330,878758,378015000,134972000,0.118076,18.1357,18.1582,0.27198
254950063,79556696,16287,695156,95505.7,36616100,14545600,0.137387,20.9243,21.1743,0.113225
254947380,79556696,15684,2910280,290114,132596000,44423300,0.0996858,15.2642,15.1937,0.560239
254954184,79556696,111220784,330365,40199.3,17689900,6216010,0.121681,18.8156,18.8534,0.0795817
254946375,79556696,1097,61373300,7562890,3090380000,1133950000,0.123228,18.4762,18.522,0.267171
254954147,79556696,111220664,719153,60435.4,30737000,9046090,0.0840369,12.5788,12.3294,0.197256
254945308,79556696,735,1391970,84504.8,46261100,14703000,0.060709,10.5627,10.732,0.575369
254949052,79556696,16086,286801,49433.4,18955900,7930140,0.172361,27.6503,27.8915,0.0913526
254952733,79556696,16992,166735,19798.5,8140750,3122050,0.118742,18.7246,18.7886,0.128294
254953987,79556696,17446,419624,34782.6,16072000,5329580,0.0828899,12.7008,12.7008,0.392869
254950877,79556696,16530,1947250,218732,95176300,34849200,0.112329,17.8966,18.0202,0.18393
254943208,79556696,191,2907250,303353,150288000,45534300,0.104344,15.6624,15.7324,0.349873
254946842,79556696,10735,2585430,152084,138577000,24742800,0.0588235,9.57009,9.56847,0.274386
254952920,79556696,17053,6312890,569321,267449000,85946400,0.0901838,13.6144,13.448,0.375941
254952072,79556696,16813,57052700,3377340,3330860000,567109000,0.0591967,9.94008,9.94525,0.512096
254951891,79556696,16775,357948,41019.2,18507400,6240490,0.114595,17.434,16.7652,0.296516
254948915,79556696,16054,1779540,305336,123753000,50505600,0.171582,28.3813,28.4191,0.100031
254953962,79556696,17433,1014100,101226,45834100,15397900,0.0998186,15.1838,15.1838,0.120528
254945534,79556696,834,3349840,294188,167778000,46824900,0.0878216,13.9783,13.987,0.382153
254944837,79556696,620,1144130,195534,77013000,32226700,0.170902,28.1669,28.2096,0.0833592
254943235,79556696,202,4227170,464196,216255000,72262200,0.109813,17.0947,17.0268,0.212678
254946425,79556696,1118,98632.4,11887.3,4867800,1887170,0.120521,19.1334,17.6352,0.0701973
254943155,79556696,162,366565,56805.2,23128000,9399960,0.154966,25.6433,26.2067,0.157642
254943134,79556696,148,413627,68389.6,26660800,11227600,0.165341,27.1442,27.134,0.0600219
254952412,79556696,16928,2379950,173079,103009000,25897300,0.0727235,10.8814,11.0305,0.216165
254952783,79556696,17023,13181500,1028230,528152000,154063000,0.0780058,11.6879,11.6224,0.447646
254942601,79556696,15,419628,57511.4,23977600,8929090,0.137053,21.2786,21.2786,0.102096
254943151,79556696,159,18330800,1988920,927109000,311350000,0.108502,16.9851,16.9836,0.357426
254944831,79556696,614,1639380,139870,62714400,20875900,0.0853191,12.734,12.8587,0.442276
254951863,79556696,16762,658793,63322.4,31547000,9719510,0.0961189,14.7535,15.1282,0.340599
254947900,79556696,15789,242610,23166.8,11148100,3408880,0.0954899,14.0508,14.0529,0.0866205
