Region,NTG-1M,NTG-1M,NTG-1M,NTG-1M,G20-1M,G20-1M,G20-1M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,NTG-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,G20-3M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,NTG-6M,G20-6M,G20-6M,G20-6M,G20-6M,G20-6M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,NTG-9M,G20-9M,G20-9M,G20-9M,G20-9M
cACA,0.001154753,0,0.003531885,0.00355,0,0.000273412,0,0.000250068,0.000140799,0.013578208,0.000621705,0,0.001762395,0.000983824,0.000314225,0.000378734,0.017584675,0,0.000125056,0.00431179,0,0.001048011,0.007164963,0,0.00432608,0.004814578,0.002214849,0.00670811,0.00094557,0.000405523,0.010732885,0.000452944,0.00300788,0.00235431,0.00618122,0.00478541,0.002866865,0.00467421,0.00371056,0.007586117,0.00286927,0.000142936,0.004700025
cMOp,0.00076348,0.000085694,0.00132592,0.000933,0.001549985,0.000244957,0,0.003947407,0.00229662,0,0.01156755,0.00613875,0.004393625,0.00167515,0.122724718,0.000157613,0.000294262,0.004114295,0.000065121,0.000285186,0.000094298,0.00065894,0.00220343,0,0.001014967,0.000212901,0.00066325,0.002747465,0.000225397,0.000149806,0,0.001453165,0.001100879,0.00401255,0.00318354,0.001353768,0.00055543,6.59765E-05,7.15445E-05,0.001172407,0.00166785,6.33665E-05,0.00066953
cSSp-m,0.001276893,0.00429107,3.74889E-05,0.00007375,0.001202515,0.000199363,0.000069943,0.001134589,0.00140656,0.00351576,0.00088466,0.000580369,0.003001175,0.000224262,0.00128578,0.001915628,0.002247313,0.000491085,0.001442406,0.000051798,0.000124456,0.000149909,0.000439987,0.001461712,0.000475681,0.000243491,0.001001331,0.001451162,0.000141095,0.001481085,0.000129303,0.001977967,0.002777906,0.0022115,0.001346986,0.000493566,0.000406442,0.00168298,0.00058542,0.003350355,0.001392977,0.000744215,0.000973645
cSSs,0.000485176,0.000460058,0,0.002486975,0.000049888,0,0.000235257,0,3.11645E-05,0,0.001044661,2.60955E-05,0.001334108,0.007594788,4.37855E-05,0.007798072,0.00138894,0.017202053,0.000343101,0.000926094,0.001360934,0.001224389,0.016931617,0.001927028,0.00743419,0.014306523,0.000185979,0.013322925,0.006238525,0.005145623,0.00745342,0.009290169,0.001555576,0.01626,0.013565805,0.001460159,0.001045145,0.009126052,0.009810663,0.022972,0.030006768,0.01765525,0.010957904
cGU,0.000505325,0.004412845,0,0,0,0,0,0.000451594,0.000439727,0,0.0149628,0,0.000454542,0,0,0.007909475,0,0,0.00921115,0,0,0.00313164,0,0,0.00100051,0.000626615,0.00189937,0,0,0,0.00027242,0.00243609,0.004891215,0.005358643,0.001841415,0,0,0,0.00135939,0.000727045,0.000904275,0,0.000347756
cAI,0,0,0,0.000156,0.00080949,0,0,0,0,0,0.000147612,0.000585255,0,0.00328702,0,0,0.00015761,0.00241673,0.000978594,0.000501194,0.00083833,0.000112705,0.00366466,0.001520124,0.001243935,0.001519183,0.000625365,0,0.0441348,0.000334028,0.003298695,0.012446825,0.002763335,0.000537795,0.000162905,0.001771342,0.00080536,0.000308,0.00638774,0.004302775,0.001582903,0,0.009715145
cCLA,0.0066094,0,0,0,0,0,0,0,0,0,0.002234015,0,0,0.001467955,0,0,0,0,0,0,0.0010997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016697,0,0,0,0
cEPd,0,0,0,0,0,0,0,0,0.0024924,0,0.000481431,0,0,0.001664505,0,0,0,0,0,0,0,0,0,0,0.00056403,0,0,0,0,0,0,0,0,0.001286415,0,0,0,0,0,0.0090317,0,0.00056455,0
cPIR,0.000724542,0.000633721,0.000415347,0.000180717,3.84203E-05,0.000135379,0.000876538,0.001378742,0.00011601,0.00043419,0.005175328,0.000495765,0.001199727,0.000770383,0.00010006,0.001252658,0.0006409,0.003992297,0.001256393,0.001465379,0.000210704,7.36945E-05,0.001225769,0.000615286,0.000830939,0.002990327,0.001454227,0.002671858,0.000360619,0.00116109,0.003920728,0.005859228,0.002400072,0.000843093,0.001226172,0.002634302,0.000761434,0.001571878,0.001179957,0.014936532,0.002969025,0.001478791,0.00215625
cCP,0.002356357,0.001789571,0.002181573,0.002289658,0.000695004,0.001445796,0.002107082,0.001545313,0.000493572,0.000153296,0.000828219,0.000424815,0.000540129,0.001870245,0.001668188,0.002171936,0.001602221,0.000186487,0.001003622,0.002204239,0.002067695,0.002225942,0.000304408,0.001805308,0.000420006,0.003279173,0.000268105,0.001003083,0.000296571,0.000599639,0.000457072,0.001087887,0.000946473,0.00215309,0.009720642,0.000213092,0.000656006,0.001029088,0.000461788,0.000934302,0.001978951,0.000360162,0.000710556
