id,section_data_set_id,structure_id,sum_pixels,sum_expressing_pixels,sum_pixel_intensity,sum_expressing_pixel_intensity,expression_density,expression_energy,voxel_energy_mean,voxel_energy_cv
189566076,3,16759,34969,4699.58,1651340,673521,0.134393,19.2605,0,0
189562560,3,16123,9266780,747180,323403000,117589000,0.0806299,12.6893,12.6893,0.480268
189556572,3,1018,10886300,1551910,505909000,222078000,0.142556,20.3998,20.3803,0.235672
189551041,3,431,769318,50094.6,24235900,8225280,0.0651156,10.6916,10.6916,0.134798
189552287,3,559,2832490,348848,121552000,47598800,0.12316,16.8046,16.8046,0.23207
189568753,3,17264,103313,3865.36,2186860,671228,0.037414,6.49703,6.47612,0.502652
189549810,3,241,3496900,380570,129590000,55012600,0.108831,15.7318,15.7318,0.303649
189567031,3,16970,2272980,256853,95677700,38931400,0.113003,17.1279,17.1279,0.184553
189562022,3,16064,4433050,360936,132879000,56419600,0.0814195,12.7271,12.7188,0.521407
189549682,3,191,3076800,362483,133941000,51168200,0.117812,16.6303,16.6307,0.23706
189561580,3,16040,5874790,922804,295940000,129247000,0.157079,22.0002,22.0002,0.154446
189564362,3,16538,909194,80783.8,32876900,11282100,0.0888521,12.4089,12.4089,0.225095
189549794,3,236,1323670,87067.2,50372100,12640500,0.065777,9.54954,9.52198,0.288827
189563774,3,16409,18288800,2051130,744391000,279817000,0.112152,15.2999,15.2999,0.165421
189563750,3,16401,559504,71709.5,24293600,9648020,0.128166,17.2439,17.2439,0.0640467
189549177,3,48,10770500,1278840,440251000,177264000,0.118736,16.4584,16.4584,0.249075
189549914,3,286,419100,27440.6,12138100,3659540,0.0654751,8.73191,8.73056,0.292621
189549625,3,162,524535,65735.9,23814400,9726010,0.125322,18.5422,18.5422,0.110566
189550860,3,411,3391780,436463,143199000,61249500,0.128683,18.0582,18.0573,0.270141
189562256,3,16091,69938,10089.8,3265600,1428970,0.144268,20.4319,20.4319,0.0651486
189568257,3,17151,174845,17876.7,6999120,2898130,0.102243,16.5754,16.5754,0.135285
189558297,3,15689,169930,1841.17,1129630,289761,0.0108349,1.70517,1.71587,1.02897
189565157,3,16666,559504,61335.9,23033400,8249430,0.109626,14.7442,14.7442,0.117736
189558195,3,15673,2920630,271700,99318600,38816400,0.0930281,13.2904,13.2392,0.474099
189554456,3,671,676281,27722.4,11232900,4236020,0.0409925,6.26371,6.12738,0.674061
189566242,3,16781,384659,43988.6,15710700,6256210,0.114357,16.2643,16.2643,0.247313
189563651,3,16392,209814,25473.6,9554780,3480790,0.12141,16.5899,16.5899,0.0901334
189550605,3,366,839256,86638.9,31762600,11553800,0.103233,13.7667,13.7667,0.17185
